YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,PE1,1144,1936
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,DT24,1126,2495
2025-12,WEEKDAY,0,TRAIN,NE5,4488,590
2025-12,WEEKDAY,16,TRAIN,PE4,1812,2031
2025-12,WEEKDAY,0,TRAIN,CC23,94,149
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,DT33,6452,6258
2025-12,WEEKDAY,22,TRAIN,TE11,2003,4170
2025-12,WEEKDAY,0,TRAIN,TE8,355,754
2025-12,WEEKDAY,0,TRAIN,DT2,7,416
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,NS23,3632,16621
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,EW21/CC22,9950,7815
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,PE7,1948,1826
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,DT29,2207,3873
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,TE22,12,0
2025-12,WEEKDAY,15,TRAIN,CC24,28505,13812
2025-12,WEEKDAY,15,TRAIN,NE11,16906,15340
2025-12,WEEKDAY,10,TRAIN,DT25,3926,2313
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,DT3,1008,2950
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,DT17,3070,2561
2025-12,WEEKDAY,22,TRAIN,EW25,4227,14506
2025-12,WEEKDAY,20,TRAIN,DT27,8863,11065
2025-12,WEEKDAY,0,TRAIN,TE18,583,527
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,DT3,2495,2692
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,EW19,6236,4222
2025-12,WEEKDAY,5,TRAIN,TE12,167,246
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,NS12,11185,4342
2025-12,WEEKDAY,19,TRAIN,SE2,3790,12431
2025-12,WEEKDAY,23,TRAIN,BP5,303,381
2025-12,WEEKDAY,10,TRAIN,NE16/STC,46782,25986
2025-12,WEEKDAY,16,TRAIN,DT8,4038,3921
2025-12,WEEKDAY,6,TRAIN,EW20,13607,10716
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,NE9,11154,11515
2025-12,WEEKDAY,19,TRAIN,DT29,7031,17694
2025-12,WEEKDAY,10,TRAIN,CG1/DT35,3904,21599
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,EW3,517,3015
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,PE6,3570,2918
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,EW17,11494,11236
2025-12,WEEKENDS/HOLIDAY,22,TRAIN,EW12/DT14,25271,9953
2025-12,WEEKDAY,18,TRAIN,NE10,35504,34801
2025-12,WEEKDAY,19,TRAIN,EW16/NE3/TE17,49849,28956
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,NS5,12075,11171
2025-12,WEEKENDS/HOLIDAY,22,TRAIN,TE3,1042,5313
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,TE25,1549,1650
2025-12,WEEKDAY,15,TRAIN,PE7,2767,3926
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,DT27,5013,4335
2025-12,WEEKDAY,7,TRAIN,EW27,115156,86134
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NS20,6816,14464
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,DT17,2800,2446
2025-12,WEEKDAY,23,TRAIN,EW29,1040,1361
2025-12,WEEKDAY,7,TRAIN,BP10,9645,2014
2025-12,WEEKDAY,19,TRAIN,TE6,8598,25868
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,EW24/NS1,14046,19806
2025-12,WEEKDAY,10,TRAIN,TE14/NS22,29542,105037
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,NS19,2096,8798
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,SW7,1271,1141
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,NE4/DT19,7638,4185
2025-12,WEEKDAY,12,TRAIN,CC16,6695,4813
2025-12,WEEKDAY,9,TRAIN,DT2,4227,5156
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,PE6,1390,982
2025-12,WEEKDAY,10,TRAIN,BP6/DT1,37983,21902
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,EW12/DT14,37302,13131
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,EW12/DT14,39256,26193
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,PE6,1863,2972
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,DT28,455,33
2025-12,WEEKENDS/HOLIDAY,6,TRAIN,CC6,92,329
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,DT5,6791,6431
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,SE4,1095,649
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,EW32,2848,2228
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,CC26,1102,915
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,DT20,1598,2609
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,TE28,1604,681
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,SW6,124,951
2025-12,WEEKDAY,14,TRAIN,PE3,5558,6201
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,SW8,852,339
2025-12,WEEKDAY,5,TRAIN,NS28,50,2
2025-12,WEEKDAY,22,TRAIN,PE5,1063,6836
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,SW1,1199,712
2025-12,WEEKDAY,7,TRAIN,EW16/NE3/TE17,21838,104798
2025-12,WEEKDAY,11,TRAIN,DT24,5495,3069
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,NS9/TE2,23207,21723
2025-12,WEEKDAY,12,TRAIN,NS13,48298,44902
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,EW11,7868,9491
2025-12,WEEKDAY,9,TRAIN,NS2,36521,21419
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,PE5,1979,384
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,SW5,3399,3444
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2763,1774
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,BP8,779,899
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,NE9,9630,9232
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,NS9/TE2,23743,20452
2025-12,WEEKDAY,12,TRAIN,EW9,18171,13999
2025-12,WEEKDAY,10,TRAIN,CC25,6199,5052
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,DT5,367,33
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,SE1,240,1353
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,TE23,604,1121
2025-12,WEEKDAY,21,TRAIN,SW3,652,3089
2025-12,WEEKENDS/HOLIDAY,12,TRAIN,TE1,2141,791
2025-12,WEEKDAY,23,TRAIN,SW4,401,2005
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,NS10,17168,8143
2025-12,WEEKDAY,7,TRAIN,TE5,12769,11974
2025-12,WEEKDAY,8,TRAIN,CE1/DT16,11336,35195
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,TE28,1436,1865
2025-12,WEEKDAY,7,TRAIN,TE28,7130,2080
2025-12,WEEKDAY,5,TRAIN,EW25,9349,437
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,EW23,152,888
2025-12,WEEKDAY,10,TRAIN,TE8,8244,8676
2025-12,WEEKDAY,7,TRAIN,TE26,7370,5257
2025-12,WEEKDAY,0,TRAIN,NE4/DT19,1462,2390
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,PW1,924,665
2025-12,WEEKDAY,12,TRAIN,NS8,20083,11886
2025-12,WEEKENDS/HOLIDAY,22,TRAIN,BP6/DT1,6731,18207
2025-12,WEEKDAY,12,TRAIN,CC21,10463,16783
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,EW26,14564,9608
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,TE18,7999,5307
2025-12,WEEKDAY,11,TRAIN,NS17/CC15,34620,10702
2025-12,WEEKDAY,15,TRAIN,EW17,21930,24622
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,TE1,231,38
2025-12,WEEKDAY,0,TRAIN,NS9/TE2,2841,10515
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,EW27,26746,33797
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,TE26,7198,5969
2025-12,WEEKDAY,17,TRAIN,CC5,12410,5463
2025-12,WEEKDAY,15,TRAIN,EW2/DT32,49060,55892
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,SE2,891,3126
2025-12,WEEKDAY,5,TRAIN,NE10,1652,579
2025-12,WEEKDAY,14,TRAIN,DT30,5801,6139
2025-12,WEEKDAY,11,TRAIN,NS9/TE2,48720,52022
2025-12,WEEKDAY,11,TRAIN,BP9,3428,2203
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NS9/TE2,20727,20451
2025-12,WEEKDAY,8,TRAIN,TE24,7094,2503
2025-12,WEEKDAY,15,TRAIN,TE5,3581,4236
2025-12,WEEKDAY,9,TRAIN,EW5,50537,24600
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,CG1/DT35,11005,7056
2025-12,WEEKDAY,10,TRAIN,PW4,4488,2776
2025-12,WEEKENDS/HOLIDAY,14,TRAIN,NS14,12591,10449
2025-12,WEEKDAY,8,TRAIN,NS27/CE2/TE20,1674,21606
2025-12,WEEKDAY,9,TRAIN,EW21/CC22,17681,73335
2025-12,WEEKDAY,7,TRAIN,BP4,5650,2586
2025-12,WEEKDAY,8,TRAIN,BP2,9386,1682
2025-12,WEEKDAY,17,TRAIN,TE28,4669,7126
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,DT21,4475,2971
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,TE8,5576,5526
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,CG1/DT35,1376,4350
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,SW5,367,1728
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,NS4/BP1,15414,10958
2025-12,WEEKDAY,22,TRAIN,CC2,3795,1730
2025-12,WEEKDAY,12,TRAIN,NE10,17869,12707
2025-12,WEEKDAY,14,TRAIN,NE12/CC13,57112,59576
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,EW28,14531,7724
2025-12,WEEKENDS/HOLIDAY,22,TRAIN,BP2,190,1198
2025-12,WEEKENDS/HOLIDAY,20,TRAIN,DT8,682,1445
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,EW7,73,508
2025-12,WEEKDAY,19,TRAIN,NS9/TE2,67047,141925
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,TE7,2756,2389
2025-12,WEEKDAY,7,TRAIN,BP9,4894,2387
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,EW6,4554,2679
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,TE3,4379,4677
2025-12,WEEKENDS/HOLIDAY,6,TRAIN,CC8,295,177
